year,age,site,plot,subplot,spp,foliage,f1hr,f10hr,f100hr,f1000hr,height
1940,Old,13-60A,4,3,,0,0,0,0,0,0
1940,Old,13-60A,4,4,,0,0,0,0,0,0
1940,Old,13-60A,5,1,,0,0,0,0,0,0
1940,Old,13-60A,5,2,,0,0,0,0,0,0
1940,Old,13-60A,5,3,PIEN,0.590460995,0.236184398,0.250945923,0.383799647,0.014761525,170
1940,Old,13-60A,5,3,PIEN,0.636147552,0.254459021,0.27036271,0.413495909,0.015903689,175
1940,Old,13-60A,6,1,,0,0,0,0,0,0
1940,Old,13-60A,6,2,,0,0,0,0,0,0
1940,Old,13-60A,6,3,,0,0,0,0,0,0
1940,Old,13-60A,6,4,,0,0,0,0,0,0
1940,Old,13-60A,7,1,,0,0,0,0,0,0
1940,Old,13-60A,7,2,,0,0,0,0,0,0
1940,Old,13-60A,7,3,,0,0,0,0,0,0
1940,Old,13-60A,7,4,,0,0,0,0,0,0
1940,Old,13-60A,8,1,,0,0,0,0,0,0
1940,Old,13-60A,8,2,ABLA,2.315258239,0.926103295,0.983984751,1.504917855,0.057881456,290
1940,Old,13-60A,8,3,,0,0,0,0,0,0
1940,Old,13-60A,8,4,,0,0,0,0,0,0
1940,Old,13-60A,9,1,,0,0,0,0,0,0
1940,Old,13-60A,9,2,,0,0,0,0,0,0
1940,Old,13-60A,9,3,,0,0,0,0,0,0
1940,Old,13-60A,9,4,,0,0,0,0,0,0
1940,Old,13-60A,10,1,,0,0,0,0,0,0
1940,Old,13-60A,10,2,,0,0,0,0,0,0
1940,Old,13-60A,10,3,,0,0,0,0,0,0
1940,Old,13-60A,10,4,,0,0,0,0,0,0
1940,Old,13-61A,1,1,,0,0,0,0,0,0
1940,Old,13-61A,1,2,,0,0,0,0,0,0
1940,Old,13-61A,1,3,,0,0,0,0,0,0
1940,Old,13-61A,1,4,,0,0,0,0,0,0
1940,Old,13-61A,1,5,,0,0,0,0,0,0
1940,Old,13-61A,1,6,,0,0,0,0,0,0
1940,Old,13-61A,2,1,,0,0,0,0,0,0
1940,Old,13-61A,2,2,,0,0,0,0,0,0
1940,Old,13-61A,2,3,,0,0,0,0,0,0
1940,Old,13-61A,2,4,,0,0,0,0,0,0
1940,Old,13-61A,2,5,,0,0,0,0,0,0
1940,Old,13-61A,2,6,ABLA,0.791846963,0.316738785,0.336534959,0.514700526,0.019796174,182
1940,Old,13-61A,3,1,,0,0,0,0,0,0
1940,Old,13-61A,3,2,,0,0,0,0,0,0
1940,Old,13-61A,3,3,,0,0,0,0,0,0
1940,Old,13-61A,3,4,,0,0,0,0,0,0
1940,Old,13-61A,3,5,,0,0,0,0,0,0
1940,Old,13-61A,3,6,PIEN,0.564041533,0.225616613,0.239717652,0.366626997,0.014101038,167
1940,Old,13-61A,4,1,,0,0,0,0,0,0
1940,Old,13-61A,4,2,,0,0,0,0,0,0
1940,Old,13-61A,4,3,,0,0,0,0,0,0
1940,Old,13-61A,4,4,,0,0,0,0,0,0
1940,Old,13-61A,4,5,,0,0,0,0,0,0
1940,Old,13-61A,4,6,,0,0,0,0,0,0
1940,Old,13-61A,5,1,,0,0,0,0,0,0
1940,Old,13-61A,5,2,,0,0,0,0,0,0
1940,Old,13-61A,5,3,,0,0,0,0,0,0
1940,Old,13-61A,5,4,,0,0,0,0,0,0
1940,Old,13-61A,5,5,,0,0,0,0,0,0
1940,Old,13-61A,5,6,ABLA,1.800447531,0.720179012,0.765190201,1.170290895,0.045011188,260
1940,Old,13-61A,5,6,ABLA,0.676738236,0.270695294,0.28761375,0.439879853,0.016918456,170
1940,Old,13-61A,6,1,,0,0,0,0,0,0
1940,Old,13-61A,6,2,,0,0,0,0,0,0
1940,Old,13-61A,6,3,,0,0,0,0,0,0
1940,Old,13-61A,6,4,,0,0,0,0,0,0
1940,Old,13-61A,6,5,,0,0,0,0,0,0
1940,Old,13-61A,6,6,,0,0,0,0,0,0
1940,Old,13-61A,7,1,,0,0,0,0,0,0
1940,Old,13-61A,7,2,,0,0,0,0,0,0
1940,Old,13-61A,7,3,PIEN,0.943552778,0.377421111,0.401009931,0.613309306,0.023588819,204
1940,Old,13-61A,7,4,PIEN,1.255907138,0.502362855,0.533760534,0.81633964,0.031397678,228
1940,Old,13-61A,7,5,,0,0,0,0,0,0
1940,Old,13-61A,7,6,,0,0,0,0,0,0
1940,Old,13-61A,8,1,,0,0,0,0,0,0
1940,Old,13-61A,8,2,,0,0,0,0,0,0
1940,Old,13-61A,8,3,,0,0,0,0,0,0
1940,Old,13-61A,8,4,ABLA,0.713972966,0.285589186,0.303438511,0.464082428,0.017849324,174
1940,Old,13-61A,8,5,,0,0,0,0,0,0
1940,Old,13-61A,8,6,,0,0,0,0,0,0
1940,Old,13-61A,9,1,PIEN,2.129856461,0.851942584,0.905188996,1.3844067,0.053246412,280
1940,Old,13-61A,9,2,PIEN,0.513400591,0.205360236,0.218195251,0.333710384,0.012835015,161
1940,Old,13-61A,9,2,PIEN,0.48916391,0.195665564,0.207894662,0.317956541,0.012229098,158
1940,Old,13-61A,9,3,PIEN,1.04163733,0.416654932,0.442695865,0.677064264,0.026040933,212
1940,Old,13-61A,9,4,,0,0,0,0,0,0
1940,Old,13-61A,9,5,,0,0,0,0,0,0
1940,Old,13-61A,9,6,ABLA,1.149846239,0.459938496,0.488684652,0.747400056,0.028746156,214
1940,Old,13-61A,10,1,,0,0,0,0,0,0
1940,Old,13-61A,10,2,,0,0,0,0,0,0
1940,Old,13-61A,10,3,,0,0,0,0,0,0
1940,Old,13-61A,10,4,,0,0,0,0,0,0
1940,Old,13-61A,10,5,,0,0,0,0,0,0
1940,Old,13-61A,10,6,,0,0,0,0,0,0
1940,Old,14-F03,1,1,,0,0,0,0,0,0
1940,Old,14-F03,1,2,,0,0,0,0,0,0
1940,Old,14-F03,1,3,,0,0,0,0,0,0
1940,Old,14-F03,1,4,ABLA,0.832501759,0.333000703,0.353813247,0.541126143,0.020812544,186
1940,Old,14-F03,1,5,ABLA,0.895652575,0.35826103,0.380652344,0.582174174,0.022391314,192
1940,Old,14-F03,1,6,,0,0,0,0,0,0
1940,Old,14-F03,2,1,,0,0,0,0,0,0
1940,Old,14-F03,2,2,,0,0,0,0,0,0
1940,Old,14-F03,2,3,,0,0,0,0,0,0
1940,Old,14-F03,2,4,,0,0,0,0,0,0
1940,Old,14-F03,2,5,ABLA,1.412540695,0.565016278,0.600329796,0.918151452,0.035313517,234
1940,Old,14-F03,2,6,,0,0,0,0,0,0
1940,Old,14-F03,2,1,ABLA,0.791846963,0.316738785,0.336534959,0.514700526,0.019796174,182
1940,Old,14-F03,2,1,ABLA,0.522977051,0.209190821,0.222265247,0.339935083,0.013074426,152
1940,Old,14-F03,2,2,ABLA,1.384891272,0.553956509,0.588578791,0.900179327,0.034622282,232
1940,Old,14-F03,2,3,,0,0,0,0,0,0
1940,Old,14-F03,2,4,ABLA,1.225451938,0.490180775,0.520817074,0.79654376,0.030636298,220
1940,Old,14-F03,2,5,,0,0,0,0,0,0
1940,Old,14-F03,2,6,ABLA,0.853261943,0.341304777,0.362636326,0.554620263,0.021331549,188
1940,Old,14-F03,4,1,PIEN,2.090962324,0.836384929,0.888658988,1.35912551,0.052274058,278
1940,Old,14-F03,4,2,ABLA,3.41032868,1.24011952,1.86017928,2.996955506,0.826746347,373
1940,Old,14-F03,4,3,PIEN,1.657809113,0.663123645,0.704568873,1.077575923,0.041445228,254
1940,Old,14-F03,4,4,,0,0,0,0,0,0
1940,Old,14-F03,4,5,,0,0,0,0,0,0
1940,Old,14-F03,4,6,PIEN,1.372346556,0.548938622,0.583247286,0.892025261,0.034308664,236
1940,Old,14-F03,5,1,,0,0,0,0,0,0
1940,Old,14-F03,5,2,,0,0,0,0,0,0
1940,Old,14-F03,5,3,ABLA,2.572103268,0.935310279,1.402965419,2.260333175,0.623540186,330
1940,Old,14-F03,5,4,ABLA,1.584967644,0.633987058,0.673611249,1.030228969,0.039624191,246
1940,Old,14-F03,5,4,ABLA,0.812030414,0.324812165,0.345112926,0.527819769,0.02030076,184
1940,Old,14-F03,5,5,,0,0,0,0,0,0
1940,Old,14-F03,5,6,,0,0,0,0,0,0
1940,Old,14-F03,6,1,PIEN,2.339944073,0.850888754,1.276333131,2.056314489,0.567259169,313
1940,Old,14-F03,6,2,,0,0,0,0,0,0
1940,Old,14-F03,6,3,,0,0,0,0,0,0
1940,Old,14-F03,6,4,,0,0,0,0,0,0
1940,Old,14-F03,6,5,,0,0,0,0,0,0
1940,Old,14-F03,6,6,,0,0,0,0,0,0
1940,Old,14-F03,7,1,,0,0,0,0,0,0
1940,Old,14-F03,7,2,,0,0,0,0,0,0
1940,Old,14-F03,7,3,,0,0,0,0,0,0
1940,Old,14-F03,7,4,ABLA,1.303792818,0.521517127,0.554111948,0.847465332,0.03259482,226
1940,Old,14-F03,7,5,ABLA,0.59705844,0.238823376,0.253749837,0.388087986,0.014926461,161
1940,Old,14-F03,7,5,PIEN,0.829173254,0.331669301,0.352398633,0.538962615,0.020729331,194
1940,Old,14-F03,7,6,PIEN,1.641080546,0.656432218,0.697459232,1.066702355,0.041027014,253
1940,Old,14-F03,8,1,,0,0,0,0,0,0
1940,Old,14-F03,8,2,,0,0,0,0,0,0
1940,Old,14-F03,8,3,PIEN,0.744088884,0.297635554,0.316237776,0.483657775,0.018602222,186
1940,Old,14-F03,8,4,,0,0,0,0,0,0
1940,Old,14-F03,8,5,,0,0,0,0,0,0
1940,Old,14-F03,8,6,,0,0,0,0,0,0
1940,Old,14-F03,9,1,ABLA,1.675414596,0.670165838,0.712051203,1.089019487,0.041885365,252
1940,Old,14-F03,9,2,,0,0,0,0,0,0
1940,Old,14-F03,9,3,ABLA,2.964784196,1.078103344,1.617155016,2.605416414,0.718735563,351
1940,Old,14-F03,9,4,,0,0,0,0,0,0
1940,Old,14-F03,9,5,PIEN,0.873842657,0.349537063,0.371383129,0.567997727,0.021846066,198
1940,Old,14-F03,9,6,,0,0,0,0,0,0
1940,Old,14-F03,10,1,,0,0,0,0,0,0
1940,Old,14-F03,10,2,,0,0,0,0,0,0
1940,Old,14-F03,10,3,ABLA,0.607731379,0.250242332,0.274074936,0.059581508,0,146
1940,Old,14-F03,10,3,ABLA,2.522525055,1.009010022,1.072073148,1.639641285,0.063063126,301
1940,Old,14-F03,10,4,,0,0,0,0,0,0
1940,Old,14-F03,10,5,PIEN,1.830841437,0.732336575,0.778107611,1.190046934,0.045771036,264
1940,Old,14-F03,10,6,PIEN,1.172682744,0.469073098,0.498390166,0.762243783,0.029317069,222
1960,Old,13-61B,1,1,,0,0,0,0,0,0
1960,Old,13-61B,1,2,,0,0,0,0,0,0
1960,Old,13-61B,1,3,,0,0,0,0,0,0
1960,Old,13-61B,1,4,,0,0,0,0,0,0
1960,Old,13-61B,1,5,,0,0,0,0,0,0
1960,Old,13-61B,1,6,,0,0,0,0,0,0
1960,Old,13-61B,2,1,,0,0,0,0,0,0
1960,Old,13-61B,2,2,,0,0,0,0,0,0
1960,Old,13-61B,2,3,,0,0,0,0,0,0
1960,Old,13-61B,2,4,,0,0,0,0,0,0
1960,Old,13-61B,2,5,,0,0,0,0,0,0
1960,Old,13-61B,2,6,,0,0,0,0,0,0
1960,Old,13-61B,3,1,,0,0,0,0,0,0
1960,Old,13-61B,3,2,,0,0,0,0,0,0
1960,Old,13-61B,3,3,PIEN,0.427993984,0.171197593,0.181897443,0.278196089,0.01069985,150
1960,Old,13-61B,3,4,PIEN,0.89671649,0.358686596,0.381104508,0.582865718,0.022417912,200
1960,Old,13-61B,3,5,PIEN,0.46563952,0.186255808,0.197896796,0.302665688,0.011640988,155
1960,Old,13-61B,3,5,PIEN,0.48259873,0.198717124,0.217642564,0.047313601,0,143
1960,Old,13-61B,3,6,PIEN,2.014483591,0.805793436,0.856155526,1.309414334,0.05036209,274
1960,Old,13-61B,4,1,PIEN,0.46563952,0.186255808,0.197896796,0.302665688,0.011640988,155
1960,Old,13-61B,4,2,,0,0,0,0,0,0
1960,Old,13-61B,4,3,PIEN,1.079956636,0.431982655,0.458981571,0.701971814,0.026998916,215
1960,Old,13-61B,4,4,,0,0,0,0,0,0
1960,Old,13-61B,4,5,PIEN,1.200037154,0.480014862,0.51001579,0.78002415,0.030000929,224
1960,Old,13-61B,4,6,,0,0,0,0,0,0
1960,Old,13-61B,5,1,PIEN,2.618564391,0.952205233,1.42830785,2.301162647,0.634803489,327
1960,Old,13-61B,5,2,,0,0,0,0,0,0
1960,Old,13-61B,5,3,,0,0,0,0,0,0
1960,Old,13-61B,5,4,,0,0,0,0,0,0
1960,Old,13-61B,5,5,,0,0,0,0,0,0
1960,Old,13-61B,5,6,,0,0,0,0,0,0
1960,Old,13-61B,6,1,,0,0,0,0,0,0
1960,Old,13-61B,6,2,,0,0,0,0,0,0
1960,Old,13-61B,6,3,PIEN,2.557244228,0.929906992,1.394860488,2.24727523,0.619937995,324
1960,Old,13-61B,6,4,,0,0,0,0,0,0
1960,Old,13-61B,6,5,,0,0,0,0,0,0
1960,Old,13-61B,6,6,,0,0,0,0,0,0
1960,Old,13-61B,7,1,PIEN,0.599432157,0.239772863,0.254758667,0.389630902,0.014985804,171
1960,Old,13-61B,7,2,,0,0,0,0,0,0
1960,Old,13-61B,7,3,,0,0,0,0,0,0
