Year,Age,Site,Plot,Line,BulkDensity,Veg_Type,Veg.Cat,
1940,Old,13-61A,2,1,0,Li,Litter,
1940,Old,13-61A,2,2,0.0549,LS,Shrub,
1940,Old,13-61A,2,2,0.07686,DS,Shrub,
1940,Old,13-61A,2,2,0.154,LH,Grass/Herb,
1940,Old,13-61A,2,2,0.048,DH,Grass/Herb,
1940,Old,13-61A,2,2,0.0384,LG,Grass/Herb,
1940,Old,13-61A,2,2,0.0288,DG,Grass/Herb,
1940,Old,13-61A,2,2,0,Li,Litter,
1940,Old,13-61A,3,1,0.06588,LS,Shrub,
1940,Old,13-61A,3,1,0,DS,Shrub,
1940,Old,13-61A,3,1,0.112,LH,Grass/Herb,
1940,Old,13-61A,3,1,0,DH,Grass/Herb,
1940,Old,13-61A,3,1,0.0192,LG,Grass/Herb,
1940,Old,13-61A,3,1,0.0288,DG,Grass/Herb,
1940,Old,13-61A,3,1,0,Li,Litter,
1940,Old,13-61A,3,2,0.03294,LS,Shrub,
1940,Old,13-61A,3,2,0,DS,Shrub,
1940,Old,13-61A,3,2,0.0972,LH,Grass/Herb,
1940,Old,13-61A,3,2,0,DH,Grass/Herb,
1940,Old,13-61A,3,2,0.0288,LG,Grass/Herb,
1940,Old,13-61A,3,2,0.0288,DG,Grass/Herb,
1940,Old,13-61A,3,2,0,Li,Litter,
1960,Old,13-61B,1,1,0,LS,Shrub,
1960,Old,13-61B,1,1,0,DS,Shrub,
1960,Old,13-61B,1,1,0.3884,LH,Grass/Herb,
1960,Old,13-61B,1,1,0,DH,Grass/Herb,
1960,Old,13-61B,1,1,0.0528,LG,Grass/Herb,
1960,Old,13-61B,1,1,0,DG,Grass/Herb,
1960,Old,13-61B,1,1,0,Li,Litter,
1960,Old,13-61B,1,2,0,LS,Shrub,
1960,Old,13-61B,1,2,0,DS,Shrub,
1960,Old,13-61B,1,2,0.2376,LH,Grass/Herb,
1960,Old,13-61B,1,2,0,DH,Grass/Herb,
1960,Old,13-61B,1,2,0.0384,LG,Grass/Herb,
1960,Old,13-61B,1,2,0.024,DG,Grass/Herb,
1960,Old,13-61B,1,2,0,Li,Litter,
1960,Old,13-61B,2,1,0.03294,LS,Shrub,
1960,Old,13-61B,2,1,0.01098,DS,Shrub,
1960,Old,13-61B,2,1,0.2184,LH,Grass/Herb,
1960,Old,13-61B,2,1,0,DH,Grass/Herb,
1960,Old,13-61B,2,1,0.048,LG,Grass/Herb,
1960,Old,13-61B,2,1,0.0384,DG,Grass/Herb,
1960,Old,13-61B,2,1,0,Li,Litter,
1960,Old,13-61B,2,2,0.09882,LS,Shrub,
1960,Old,13-61B,2,2,0,DS,Shrub,
1960,Old,13-61B,2,2,0.2464,LH,Grass/Herb,
1960,Old,13-61B,2,2,0.0192,DH,Grass/Herb,
1960,Old,13-61B,2,2,0.1692,LG,Grass/Herb,
1960,Old,13-61B,2,2,0.0528,DG,Grass/Herb,
1960,Old,13-61B,2,2,0,Li,Litter,
1960,Old,13-61B,3,1,0.03294,LS,Shrub,
1960,Old,13-61B,3,1,0,DS,Shrub,
1960,Old,13-61B,3,1,0.418,LH,Grass/Herb,
1960,Old,13-61B,3,1,0,DH,Grass/Herb,
1960,Old,13-61B,3,1,0.0672,LG,Grass/Herb,
1960,Old,13-61B,3,1,0.0384,DG,Grass/Herb,
1960,Old,13-61B,3,1,0,Li,Litter,
1960,Old,13-61B,3,2,0.06588,LS,Shrub,
1960,Old,13-61B,3,2,0.04392,DS,Shrub,
1960,Old,13-61B,3,2,0.0384,LH,Grass/Herb,
1960,Old,13-61B,3,2,0,DH,Grass/Herb,
1960,Old,13-61B,3,2,0.0768,LG,Grass/Herb,
1960,Old,13-61B,3,2,0.0768,DG,Grass/Herb,
1960,Old,13-61B,3,2,0,Li,Litter,
1960,Old,13-67A,1,1,0.2196,LS,Shrub,
1960,Old,13-67A,1,1,0.04392,DS,Shrub,
1960,Old,13-67A,1,1,0.0288,LH,Grass/Herb,
1960,Old,13-67A,1,1,0,DH,Grass/Herb,
1960,Old,13-67A,1,1,0.0144,LG,Grass/Herb,
1960,Old,13-67A,1,1,0.0096,DG,Grass/Herb,
1960,Old,13-67A,1,1,0,Li,Litter,
1960,Old,13-67A,1,2,0.04392,LS,Shrub,
1960,Old,13-67A,1,2,0.03294,DS,Shrub,
1960,Old,13-67A,1,2,0.048,LH,Grass/Herb,
1960,Old,13-67A,1,2,0.0192,DH,Grass/Herb,
1960,Old,13-67A,1,2,0.0336,LG,Grass/Herb,
1960,Old,13-67A,1,2,0.0336,DG,Grass/Herb,
1960,Old,13-67A,1,2,0,Li,Litter,
1960,Old,13-67A,2,1,0.14091,LS,Shrub,
1960,Old,13-67A,2,1,0.02196,DS,Shrub,
1960,Old,13-67A,2,1,0.0328,LH,Grass/Herb,
1960,Old,13-67A,2,1,0,DH,Grass/Herb,
1960,Old,13-67A,2,1,0.0144,LG,Grass/Herb,
1960,Old,13-67A,2,1,0.0288,DG,Grass/Herb,
1960,Old,13-67A,2,1,0,Li,Litter,
1960,Old,13-67A,2,2,0.02196,LS,Shrub,
1960,Old,13-67A,2,2,0.02196,DS,Shrub,
1960,Old,13-67A,2,2,0.0048,LH,Grass/Herb,
1960,Old,13-67A,2,2,0,DH,Grass/Herb,
1960,Old,13-67A,2,2,0.0144,LG,Grass/Herb,
1960,Old,13-67A,2,2,0,DG,Grass/Herb,
1960,Old,13-67A,2,2,0,Li,Litter,
1960,Old,13-67A,3,1,0.07503,LS,Shrub,
1960,Old,13-67A,3,1,0.03294,DS,Shrub,
1960,Old,13-67A,3,1,0.024,LH,Grass/Herb,
1960,Old,13-67A,3,1,0,DH,Grass/Herb,
1960,Old,13-67A,3,1,0.0096,LG,Grass/Herb,
1960,Old,13-67A,3,1,0,DG,Grass/Herb,
1960,Old,13-67A,3,1,0,Li,Litter,
1960,Old,13-67A,3,2,0.03294,LS,Shrub,
1960,Old,13-67A,3,2,0.02196,DS,Shrub,
1960,Old,13-67A,3,2,0.0144,LH,Grass/Herb,
1960,Old,13-67A,3,2,0,DH,Grass/Herb,
1960,Old,13-67A,3,2,0,LG,Grass/Herb,
1960,Old,13-67A,3,2,0,DG,Grass/Herb,
1960,Old,13-67A,3,2,0,Li,Litter,
1960,Old,14-F04,1,1,0.14091,LS,Shrub,
1960,Old,14-F04,1,1,0,DS,Shrub,
1960,Old,14-F04,1,1,0.0328,LH,Grass/Herb,
1960,Old,14-F04,1,1,0,DH,Grass/Herb,
1960,Old,14-F04,1,1,0,LG,Grass/Herb,
1960,Old,14-F04,1,1,0,DG,Grass/Herb,
1960,Old,14-F04,1,1,0,Li,Litter,
1960,Old,14-F04,1,2,0.129015,LS,Shrub,
1960,Old,14-F04,1,2,0,DS,Shrub,
1960,Old,14-F04,1,2,0.0144,LH,Grass/Herb,
1960,Old,14-F04,1,2,0,DH,Grass/Herb,
1960,Old,14-F04,1,2,0,LG,Grass/Herb,
1960,Old,14-F04,1,2,0,DG,Grass/Herb,
1960,Old,14-F04,1,2,0,Li,Litter,
1960,Old,14-F04,2,1,0.02196,LS,Shrub,
1960,Old,14-F04,2,1,0,DS,Shrub,
1960,Old,14-F04,2,1,0.0192,LH,Grass/Herb,
1960,Old,14-F04,2,1,0,DH,Grass/Herb,
1960,Old,14-F04,2,1,0,LG,Grass/Herb,
1960,Old,14-F04,2,1,0,DG,Grass/Herb,
1960,Old,14-F04,2,1,0,Li,Litter,
1960,Old,14-F04,2,2,0.03294,LS,Shrub,
1960,Old,14-F04,2,2,0,DS,Shrub,
1960,Old,14-F04,2,2,0.0096,LH,Grass/Herb,
1960,Old,14-F04,2,2,0,DH,Grass/Herb,
1960,Old,14-F04,2,2,0,LG,Grass/Herb,
1960,Old,14-F04,2,2,0,DG,Grass/Herb,
1960,Old,14-F04,2,2,0,Li,Litter,
1960,Old,14-F04,3,1,0.02196,LS,Shrub,
1960,Old,14-F04,3,1,0,DS,Shrub,
1960,Old,14-F04,3,1,0.0048,LH,Grass/Herb,
1960,Old,14-F04,3,1,0,DH,Grass/Herb,
1960,Old,14-F04,3,1,0,LG,Grass/Herb,
1960,Old,14-F04,3,1,0,DG,Grass/Herb,
1960,Old,14-F04,3,1,0,Li,Litter,
1960,Old,14-F04,3,2,0.07686,LS,Shrub,
