year,age,site,plot,plot_size,spp,status,sf,lifol,defol,li1hr,de1hr,li10hr,de10hr,li100hr,de100hr,cbh,lcw,dcw,acfl,cbd,ba_li,ba_gr,ba_ye,ba_nd,ba_tw,ba_br,ba_sn,ba_de
1940,Old,14-F03,2,100,PIEN,Li,S,2.370033839,0,1.26462616,0,1.306270262,0,0.552626422,0,1,0.549355668,0.037361389,0.363466,0.032023436,2.270095,0,0,0,0,0,0,0
1940,Old,14-F03,2,100,PIEN,Li,S,1.535616384,0,0.795485137,0,0.755767868,0,0.214197658,0,1,0.330106705,0.000360183,0.233110152,0.034280905,7.40325895,0,0,0,0,0,0,0
1940,Old,14-F03,2,100,PIEN,Li,S,3.540990552,0,1.963177336,0,2.223187237,0,1.340209011,0,0.9,0.906756414,0.062366783,0.550416789,0.039315485,2.3238232,0,0,0,0,0,0,0
1940,Old,14-F03,2,100,PIEN,Br,S,0,0,0,0,0,0,0,0,0.3,0,0.00907659,0,0,0,0,0,0,0,3.69884095,0,0
1940,Old,14-F03,2,100,PIEN,Sn,S,0,0,0,0.020174659,0,0.200073892,0,0,1.6,0,0.022024904,0.001008733,0.000136315,0,0,0,0,0,0,2.3781798,0
1940,Old,14-F03,2,100,PIEN,Li,S,0,0,0,0,0,0,0,0,1.8,0.343496143,0.000244366,0,0,8.19504295,0,0,0,0,0,0,0
1940,Old,14-F03,2,100,PIEN,Sn,S,0,0,0,0,0,0,0,0,1.9,0,0.114168893,0,0,0,0,0,0,0,0,10.2935062,0
1940,Old,14-F03,2,100,PIEN,Sn,F,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52.81702,0
1940,Old,14-F03,2,100,PIEN,Sn,F,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.88716375,0
1940,Old,14-F03,2,100,PIEN,Sn,F,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.34262,0
1940,Old,14-F03,3,100,PIEN,Sn,F,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30.19462,0
1940,Old,14-F03,3,100,PIEN,Sn,F,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.20728,0
1940,Old,13-12A,1,100,ABLA,Ye,S,0,0.204212513,0,0.032166506,0,0.021976918,0,0.376258519,0.7,0,0.052632877,0.022029577,0.001519281,0,0,5.2286022,0,0,0,0,0
1940,Old,13-12A,1,100,ABLA,Ye,S,0,0.004525314,0,0.000933392,0,0,0,0,0.4,0,0.000867823,0.000499201,7.92E-05,0,0,0.51536655,0,0,0,0,0
1940,Old,13-12A,1,100,ABLA,Ye,S,0,0.035986701,0,0.001222799,0,0.028716868,0,0.070750603,0.2,0,0.007679781,0.00365981,0.000348553,0,0,1.65151375,0,0,0,0,0
1940,Old,13-12A,1,100,ABLA,Ye,S,0,0.259404178,0,0.041609085,0,0.018555689,0,0.477199271,0.6,0,0.067644017,0.028020872,0.001740427,0,0,5.51617375,0,0,0,0,0
1940,Old,13-12A,1,100,ABLA,Tw,S,0,0.189791399,0,0.441007255,0,0.97164249,0,0.820590053,2,0,0.242303654,0.041029503,0.002136953,0,0,0,0,11.7036358,0,0,0
1940,Old,13-12A,1,100,ABLA,Ye,S,0,0.010485837,0,0.001668628,0,0,0,0,0.1,0,0.002037927,0.001132015,0.000124397,0,0,0.62219455,0,0,0,0,0
1940,Old,13-12A,1,100,ABLA,Sn,F,0,0,0,0,0,0,0,0,0,0,0.000700824,0,0,0,0,0,0,0,0,0.4072032,0
1940,Old,13-12A,1,100,ABLA,Ye,S,0,0.000658453,0,0.000351779,0,0,0,0,0.1,0,0.000119501,8.34E-05,1.96E-05,0,0,0.1809792,0,0,0,0,0
1940,Old,13-12A,1,100,ABLA,Tw,S,0,0.012448154,0,0.031227315,0,0.017858235,0,0.056123623,0.9,0,0.011765759,0.002806181,0.00033607,0,0,0,0,3.3333478,0,0,0
1940,Old,13-12A,1,100,ABLA,Li,S,0.110137256,0,0.05308108,0,0.054608791,0,0.006098627,0,0,0.022392575,0.003942238,0.016321834,0.001682663,1.0569688,0,0,0,0,0,0,0
1940,Old,13-12A,1,100,ABLA,Li,S,0.23166712,0,0.110182649,0,0.104597684,0,0.008332385,0,0.1,0.045477984,0.001402915,0.034184977,0.004814785,0.70891375,0,0,0,0,0,0,0
1940,Old,13-12A,1,100,ABLA,Ye,S,0,0.002104567,0,0.000694386,0,0,0,0,0.2,0,0.000392952,0.000245176,4.46E-05,0,0,0.33187375,0,0,0,0,0
1940,Old,13-12A,1,100,ABLA,Ye,S,0,0.140778836,0,0.017426577,0,0.054274316,0,0.264131095,1.7,0,0.033320977,0.014949212,0.001107349,0,0,3.36578895,0,0,0,0,0
1940,Old,13-12A,1,100,ABLA,Ye,S,0,0.020888159,0,0.000157109,0,0.019650109,0,0.041933427,0.65,0,0.004332868,0.002096671,0.000245225,0,0,1.2869632,0,0,0,0,0
1940,Old,13-12A,1,100,ABLA,Ye,S,0,0.020828315,0,0.001058144,0,0,0,0,0,0,0.004220599,0.002135739,0.000209386,0,0,1.0208358,0,0,0,0,0
1940,Old,13-12A,1,100,ABLA,Li,S,0.467099996,0,0.280101893,0,0.696605736,0,0.32985865,0,0.2,0.177366627,0.021505695,0.074720189,0.014944038,18.859855,0,0,0,0,0,0,0
1940,Old,13-12A,1,100,ABLA,Li,S,0.225178944,0,0.109345224,0,0.117467224,0,0.015100289,0,0.2,0.046709168,0.004835965,0.033452417,0.003521307,1.2869632,0,0,0,0,0,0,0
1940,Old,13-12A,1,100,ABLA,Ye,S,0,0.015026115,0,0.000113018,0,0.014135511,0,0.030165249,0.2,0,0.003116894,0.001508262,0.000197158,0,0,1.2869632,0,0,0,0,0
1940,Old,13-12A,1,100,ABLA,Sn,S,0,0,0,0,0,0,0,0,4,0,0.000227943,0,0,0,0,0,0,0,0,0.196375,0
1940,Old,13-12A,1,100,ABLA,De,F,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.13112
1940,Old,13-12A,2,100,ABLA,Ye,S,0,0.022305111,0,0.000357087,0,0.021592974,0,0.044967308,0.1,0,0.004603663,0.002248365,0.000234205,0,0,1.22734375,0,0,0,0,0
1940,Old,13-12A,2,100,ABLA,Ye,S,0,0.007607626,0,0.000736063,0,0,0,0,0.5,0,0.001511,0.000797566,0.000123654,0,0,0.8172342,0,0,0,0,0
1940,Old,13-12A,2,100,ABLA,Ye,S,0,0.016873254,0,0.001161017,0,0,0,0,0.1,0,0.00339072,0.001745376,0.000183724,0,0,0.93325255,0,0,0,0,0
1940,Old,13-12A,2,100,ABLA,Ye,S,0,0.00388618,0,0.000878661,0,0,0,0,0.2,0,0.000741531,0.000432551,6.92E-05,0,0,0.4778982,0,0,0,0,0
1940,Old,13-12A,2,100,ABLA,Li,S,0.057075961,0,0.026665215,0,0.023183855,0,0,0,0,0.010692503,0.000345857,0.008374118,0.001610407,0.35261095,0,0,0,0,0,0,0
