Year,Age,Site,Plot,n1,n10,n100,dsq100,fl1,fl10,fl100,nS1000,dsqS1000,flS1000,nR1000,dsqR1000,flR1000
1990,Young,13-31C,3,41,22,3,8.61,1.262209703,16.87656637,18.10546706,10,127.764,23.77588206,6,613.457325,85.619711
2000,Young,13-40C,1,48,2,6,17.22,1.463501411,1.519482339,35.86278219,1,110.8809,20.43568173,1,268.3044,37.08697796
2000,Young,13-40C,2,98,8,2,5.74,2.987982048,6.077929357,11.95426073,21,449.189325,82.786937,0,0,0
2000,Young,13-40C,3,103,1,1,2.87,3.140430111,0.75974117,5.977130364,7,413.1036,76.13622988,0,0,0
2000,Young,13-48C,1,12,2,2,5.74,0.355962664,1.47831489,11.63038304,2,119.2464,21.38203121,4,613.457325,82.4991174
2000,Young,13-48C,2,32,4,2,5.74,0.949233771,2.95662978,11.63038304,9,215.2215,38.59129358,7,86.92515,11.68988919
2000,Young,13-48C,3,29,15,4,11.48,0.860243105,11.08736167,23.26076609,7,121.8321,21.8456722,6,160.047225,21.52350989
2010,Young,14-F01,1,126,18,1,2.87,5.664012349,20.1622922,8.81240537,16,252.6381,68.64880359,15,537.8256,109.6066388
2010,Young,14-F01,2,20,1,2,5.74,0.899049579,1.120127345,17.62481074,7,124.8741,33.93176866,39,1012.599666,206.3636351
2010,Young,14-F01,3,116,9,4,11.48,5.21448756,10.0811461,35.24962148,13,305.696664,83.06629224,7,426.0321,86.82358467
Endemic,Young,13-3A,1,9,2,2,5.74,0.259324431,1.435967704,11.29722399,1,12.3201,2.145831601,5,766.4319,100.1189392
Endemic,Young,13-3A,2,55,0,0,0,1.584760411,0,0,4,137.8026,24.00152383,8,690.2298,90.16466485
Endemic,Young,13-3A,3,9,10,2,5.74,0.259324431,7.179838522,11.29722399,3,284.1228,49.48658556,6,324.4293,42.38017411
Endemic,Young,13-5A,1,10,11,1,2.87,0.287836308,7.889546004,5.642692642,0,0,0,5,769.7781,100.4506773
Endemic,Young,13-5A,2,15,4,1,2.87,0.431754461,2.86892582,5.642692642,4,245.0331,42.63348248,9,1634.7708,213.3261963
Endemic,Young,13-5A,3,6,5,3,8.61,0.172701785,3.586157275,16.92807792,2,222.9786,38.79620442,15,2214.4239,288.9668861
Endemic,Young,13-20A,1,5,3,1,2.87,0.14673895,2.193867581,5.753289435,1,38.9376,6.907566301,6,164.7243,21.91668253
Endemic,Young,13-20A,2,91,4,0,0,2.670648891,2.925156775,0,0,0,0,1,12.3201,1.639197862
Endemic,Young,13-20A,3,136,13,1,2.87,3.991299441,9.506759518,5.753289435,3,64.0341,11.35970864,0,0,0
Endemic,Young,13-81A,1,26,1,7,20.09,0.749159467,0.717983852,39.54028397,3,118.4859,20.63707181,4,629.8461,82.27674684
Endemic,Young,13-81A,2,58,9,4,11.48,1.671201888,6.46185467,22.59444798,4,450.6723,78.49504979,3,46.5426,6.079856202
Endemic,Young,13-81A,3,39,4,0,0,1.1237392,2.871935409,0,3,73.6164,12.82200611,4,309.3714,40.41316181
